title,artist,first
Breakfast Serial Killers,Chris Chandler,1998-07-05
Watergate Generation,Chris Chandler,1993-09-19
Whole Wheat Left,Chris Chandler,1993-09-26
You're So Mundane,Chris Chandler w/ Samantha Parton,1998-07-12
No Hiding Place Down Here/Vinegar,Chris Chandler/Austin Lounge Lizards,1999-04-25
The Great Mt. Hood Skiing Disaster,Chris Charles,2011-12-03
Ich Macht Die Farzen,Chris Cundey,1998-02-01
You'll Shoot Your Eye Out,Chris Dickens,2014-12-20
A Tribute To Dr. Demento,"Chris Fortier from Nashua, NH",1980-10-05
Bloke,Chris Franklin,2015-01-24
"(Hello, Dr. Demento)","Chris from Oak Park, IL",1984-10-14
Take Me Out To The New Ball Game,Chris Gough,1997-08-24
Renta Santa,Chris Hill,2017-12-23
Home Lobotomy Kit,Chris Ingram,2010-02-28
The Fisherman,Chris Lane,1980-09-21
Umbilical Ranger Theme,Chris Lawson,2009-06-28
Buglight,Chris Ligon,2009-05-31
Crazy Dazy,Chris Ligon,2008-04-13
Frankenstein Just Got Up,Chris Ligon,2009-06-21
Knocked Up French Girl,Chris Ligon,2016-04-09
Most Of The Vampires,Chris Ligon,2011-10-22
Poetry Slam,Chris Ligon,2009-05-31
Three Tammy Wynettes,Chris Ligon & The Problems,2011-10-15
A Thousand Pumpkins,Chris Ligun,2009-06-07
"Complete History Of The Soviet Union, Arranged To The Melody Of Tetris",Chris Lince w/ Pig With The Face Of A Boy,2014-02-08
"(Dr. Demento, Are You A Mento?)","Chris Love (?) & friend from Mokena, IL",1979-08-19
Mo People Mo Problem,Chris Mann f/ Intell,2020-09-12
(instrumental),Chris McGregor's Brotherhood Of Breath,1971-06-13
Demented Top 40 jingle #1,Chris Mezzolesta,2025-10-11
Demented Top 40 jingle #14,Chris Mezzolesta,2025-10-11
Demented Top 40 jingle #14s,Chris Mezzolesta,2025-10-11
Dementia Top 40 jingle #2,Chris Mezzolesta,2025-10-11
Dementia Top 40 jingle #2a,Chris Mezzolesta,2025-10-11
"Frank You, Thank",Chris Mezzolesta,2019-02-09
anniversary greeting,"Chris Mezzolesta (from Power Salad, Zot Theater, Cirque du So What?, Donzo Bog Band)",2010-10-09
Wind Up Man/Machines,Chris Mezzolesta & His Hands,2020-10-10
Church Of ATM,Chris Rock,2020-01-25
Crazy White Kids,Chris Rock,2014-02-01
Alien Meets The U.F.O.,Chris Rush,1999-01-17
Science Fiction,Chris Rush,1989-06-25
Science Fiction: Star Trek,Chris Rush,1990-04-22
Star Trek Joke,Chris Rush,1990-04-22
I Wish They Wouldn't Always Say I Sound Like The Guy From The U.S.A.,Chris Sandford,2020-03-07
Mean People Suck,Chris Shepard,2010-02-28
Something To Shoot,Chris Wall,1995-06-11
Something To Shoot,Chris Wall & The Rhythm Wranglers,1999-07-04
I Love Chocolate,Chris Wallace,1987-09-27
"Please, Please, Please",Chris Wallace,1987-08-02
Sausage,Chris Wilson,2010-05-02
Spotless (My Invisible Dog),Chris Wolf,2014-03-22
A Trip To Jurassic World,Chris Wolvie,2015-05-30
A Trip To The Fallen Kingdom,Chris Wolvie,2018-07-28
Avengers Disassembled,Chris Wolvie,2012-04-28
Halloween Cut-Up 2020,Chris Wolvie,2020-10-17
Hey Godzilla,Chris Wolvie,2014-05-31
Hey Wonder Woman,Chris Wolvie,2025-09-20
Hey X-Men! '16,Chris Wolvie,2016-06-25
"Hey, Black Widow!",Chris Wolvie,2021-07-17
"Hey, Green Lantern",Chris Wolvie,2011-06-25
"Hey, Spidey - Again",Chris Wolvie,2019-12-28
The Return Of Super Superman,Chris Wolvie,2013-06-22
"Hey Force, Wake Up",Chris Wolvie f/ A-Log,2016-01-02
Dashing Through The Aisles,Christian White,1991-12-15
I Wanna Be A Vulcan,Christian White & Solo,1988-10-23
Is That All There Is?,Christina,1980-06-08
June Is Busting Out All Over,Christine Johnson/Jean Darling/Carousel Original Broadway Cast,1977-06-05
Falling In Love Again,Christine Jorgensen,2017-02-25
A Million Little Pictures,Christine Lavin,2006-12-31
Amoeba Hop,Christine Lavin,1991-02-24
Chicken Soup,Christine Lavin,2005-09-18
Drunk Puppy Song,Christine Lavin,2011-07-30
Fly On A Plane,Christine Lavin,1999-11-14
French Toast Bread Pudding,Christine Lavin,2006-08-27
Getting In Touch With My Inner Bitch,Christine Lavin,2014-01-18
Good Thing He Can't Read My Mind,Christine Lavin,2020-02-01
Good Thing She Can't Read My Mind,Christine Lavin,2014-09-27
Harrison Ford,Christine Lavin,1999-02-21
Here Comes Hurricane Season,Christine Lavin,2017-09-16
"Not Me, Not Me, Not Me",Christine Lavin,2012-05-05
Oh No,Christine Lavin,1997-03-30
Piranha Women Of The Avocado Jungle Of Death,Christine Lavin,2024-11-02
Prisoners Of Their Hairdos,Christine Lavin,1999-03-14
Sensitive New Age Guys,Christine Lavin,1999-10-17
Sometimes Mother Really Does Know Best,Christine Lavin,2018-05-12
Stop Your Sobbing He's An Idiot (Happy Dance),Christine Lavin,2010-05-02
Stop Your Sobbing She's An Idiot (Happy Dance),Christine Lavin,2006-06-04
The Voice On The Relaxation Tape,Christine Lavin,1998-11-29
"They Look Alike, They Walk Alike",Christine Lavin,1998-11-08
Turn The Ship Around,Christine Lavin,2017-02-04
Waiting For The B Train,Christine Lavin,1995-05-21
What Was I Thinking? (2006),Christine Lavin,2006-03-19
When Cary Grant Made Movies,Christine Lavin,2013-01-26
Why Do We Write Songs We Don't Understand?,Christine Lavin,2006-01-29
Why Do We Write?,Christine Lavin,2005-09-18
Winter In Manhattan,Christine Lavin,2024-01-20
When You're Single At Christmastime,Christine Lavin & The Accidentals,2010-12-25
A Christmas/Kwanzaa/Solstice/Chanukah/Ramadan/Boxing Day Song,Christine Lavin & The Mistletones,2024-12-28
The New Street People,Christine Lavin & The New Port Richey Bodacious Butt Kickers,2025-01-04
Marvin,Christine Nelson,1992-03-01
Pokeracci,Christine Nelson,1974-08-04
Jingle Bells (?),Christmas Gas (?),2006-12-10
"Rudolph, The Bald-Headed Reindeer",Christmas Jug Band,1994-12-25
Santa Lost A Ho,Christmas Jug Band,2016-12-17
Somebody Stole My Santa Claus Suit,Christmas Jug Band,1995-12-17
Dirty Claus Rag,Christmas Jug Band f/ Country Joe McDonald,2010-12-11
Soft Wars: The Microsoft Empire Strikes Back,Christoph,1999-09-26
An Interview Wasted With Tom Lehrer,Christopher (Chris) Bay,2025-08-02
Hey Dr. Demento!,Christopher Bay,2021-03-27
Little Miss Muffet  (Otis Redding Parody),Christopher Cerf (from The National Lampoon Radio Hour),1996-05-26
Coffee Break,Christopher J. Hanke-Mary Faber,2021-10-09
Tongue Tied,Christopher James,2014-09-13
'Twas The Day Of Thanksgiving (Or A Visit From The Relatives),Christopher Kent,2024-11-23
My Way,Christopher Lee,2015-06-20
Jingle Hell,Christopher Lee w/ Li Li,2015-12-19
Christmas Encounter,Christopher Woods,2000-12-10
"(I've Listened For Weeks Upon Weeks, Dear)","Christy Halda(?) from Woodstock, IL",1984-12-09
Let's Twist Again,Chubby Checker,1971-03-25
Limbo Rock,Chubby Checker,1980-01-27
The Class,Chubby Checker,1983-04-10
The Twist,Chubby Checker,1979-04-29
I'm A Stern Old Bachelor,Chubby Parker,1980-01-06
Singing In The Bathtub,Chuck Ander,1973-01-07
Coffee,Chuck Ander & Virginia Hixson,1988-04-24
Broken Arrow,Chuck Berry,2013-09-21
Dear Dad,Chuck Berry,2019-06-15
Diploma For Two,Chuck Berry,1972-04-09
Drifting Heart,Chuck Berry,1971-04-29
Havana Moon,Chuck Berry,1972-12-10
How High The Moon,Chuck Berry,2025-06-07
It Wasn't Me,Chuck Berry,1989-10-01
Joe Joe Gun,Chuck Berry,2023-08-26
Johnny B. Goode,Chuck Berry,1987-10-09
Maybellene,Chuck Berry,1995-06-25
My Ding-A-Ling,Chuck Berry,1998-09-13
Nadine (Is That You?),Chuck Berry,1993-03-28
No Money Down,Chuck Berry,1991-06-30
No Particular Place To Go,Chuck Berry,1995-06-25
Reelin' And Rockin',Chuck Berry,1971-12-18
Run Rudolph Run,Chuck Berry,1979-12-23
School Day,Chuck Berry,1984-09-09
School Days (Ring! Ring! Goes The Bell),Chuck Berry,1980-02-10
The Downbound Train,Chuck Berry,1984-04-29
Too Much Monkey Business,Chuck Berry,1983-05-22
You Can't Catch Me,Chuck Berry,1971-07-11
Brown Eyed Handsome Man,Chuck Berry & His Combo,2020-07-18
Maybellene,Chuck Berry & His Combo,1995-07-16
Too Much Monkey Business,Chuck Berry & His Combo,2011-06-11
Blow 'Em Away,Chuck Brodsky,1998-08-30
Curse Of The Billy Goat,Chuck Brodsky,2006-04-02
Hockey Fight Song,Chuck Brodsky,1998-09-06
Take It Out Back,Chuck Brodsky,2000-09-24
Talk To My Lawyer,Chuck Brodsky,1996-09-01
The Ballad Of Eddie Klepp,Chuck Brodsky,1996-09-01
Psychopathic Sally From The San Fernando Valley,Chuck Cabot,1982-06-06
Psycopathic Sally From The San Fernando Valley,Chuck Cabot,1981-04-05
Psychopathic Sally,Chuck Cabot & His Orchestra,1985-08-11
Psychopathic Sally From The San Fernando Valley,Chuck Cabot & His Orchestra,1982-08-01
Psycopathic Sally,Chuck Cabot orch./Skinner Hicks,1978-09-24
Psychopathic Sally (From The San Fernando Valley),Chuck Cabot Orchestra,2025-05-10
Psychopathic Sally From The San Fernando Valley,Chuck Cabot Orchestra,1977-10-30
Saturday Night Fish Fry,Chuck E. Weiss,1981-03-22
Motor Head Baby,Chuck Higgins,1972-09-24
Dead Elephant Dance,Chuck Lucky & The Gentlemen Of Leisure,1996-08-18
The Man With Massive Toenails,Chuck Lucky & The Gentlemen Of Leisure,1995-03-12
I Like Your Skin,Chuck McCabe,1999-10-17
Live At The Pet Rock Show,Chuck McCabe,1976-02-29
I Ain't Been Nowhere,Chuck Mead,2020-07-04
House Of Blue Lights,Chuck Miller,1975-04-20
Rang Tang Ding Dong,Chuck Miller,1991-03-24
The Auctioneer,Chuck Miller,2015-01-31
Vim Vam Vamoose,Chuck Miller,1992-07-12
Who Drank My Beer (While I Was In The Rear?),Chuck Murphy,1989-05-07
Reindeer For Breakfast On Christmas,Chuck Picklesimer,2006-12-17
Yucki Sushi,Chuck Pyle,2013-08-17
Let's Hug Down There,Chuck The Fitness Counselor,2012-06-30
"Oh Gee, Say Gee, You Ought To See My Gee Gee From The Fiji Isles",Chuck Thomas,1985-08-25
My Gee Gee From The Fiji Isles,Chuck Thomas (Woody Herman),1978-09-10
Beauty's In The Eye Of The Beerholder,Chuck Wagon & The Wheels,2000-07-02
"Country Swings, Disco Sucks",Chuck Wagon & The Wheels,1979-08-05
Disco Sucks,Chuck Wagon & The Wheels,1995-02-05
"Disco Sucks, Country Swings",Chuck Wagon & The Wheels,1980-03-23
My Girl Passed Out In Her Food,Chuck Wagon & The Wheels,1989-07-16
One Less Jogger On The Road,Chuck Wagon & The Wheels,1984-12-02
Talkin' About Cocaine,Chuck Wagon & The Wheels,1981-06-28
Talking About Cocaine,Chuck Wagon & The Wheels,1981-04-26
The Gas Song,Chuck Wagon & The Wheels,1980-06-01
50 Ways To Make A Hit Record,Chuck Weiss,1978-01-15
Hang Up My Rock And Roll Shoes,Chuck Willis (orchestra conducted by Reggie Obrecht),1971-10-24
Keep A-Drivin',Chuck Willis [started at 33 1/3 rpm instead of 45 rpm],1971-05-30
Art,Chuck Winston w/ Geoff Cooper,2012-06-02
Funny,Chuckhole & The Asphalts,1989-05-21
Owww!,Chunky A,1989-11-19
Owwww!,Chunky A,1989-12-10
Sorry,Chunky A,1990-02-18
Fish Heads,Chyna,2016-04-30
Double Damask,Cicely Courtneidge,1978-12-17
Laughing Gas,Cicely Courtneidge,1992-03-08
Ms. Piggy For President,Cincinnati Dancing Pigs,1980-07-13
Back When We Were All Machines,Cindy Kallett & Grey Larsen,2014-08-23
"Damn, Wish I Was A Man",Cindy Lee Berryhill,1987-12-06
"Lord, I Wish I Was A Man",Cindy Lee Berryhill,1987-11-15
Trump,Cindy Lee Berryhill,2016-07-30
Do You Know What Time It Is?,Circa '58 & The Peanut Gallery,2020-02-01
Golden Shower Of Hits (Jerks On 45),Circle Jerks,2023-01-21
When The Shit Hits The Fan,Circle Jerks,2022-02-26
I Am A Robot,Circuits Or Gears,2014-11-01
Just Say No 2 H2O,Circuits Or Gears f/ Drumbot,2018-04-28
Across The Pond,Circus Box 21,2014-05-03
Over The Rails,Circus Contraption,2015-11-28
200 Minutes Of Free Prayer Time,Cirque du So What?,2012-06-02
A Fucking Room,Cirque du So What?,2010-03-14
A Scene In An Apothecary,Cirque du So What?,2012-03-31
Angels In The Outhouse,Cirque du So What?,2012-04-07
At The Home Center On Carson Ave,Cirque du So What?,2010-03-28
At The Seaside Hotel On Carson Ave,Cirque du So What?,2010-03-28
At The Strip Club On Carson Ave,Cirque du So What?,2010-03-28
At The Wendy's On Carson Ave,Cirque du So What?,2010-03-28
Deathworks SKG,Cirque du So What?,2010-06-05
Ed's Discount Learnin' Hut,Cirque du So What?,2018-07-14
Elevator,Cirque du So What?,2012-06-30
Escargot Flamb&eacute; A La Mode,Cirque du So What?,2010-03-14
God Hates Comedy Musicians,Cirque du So What?,2010-03-14
Green Eggs And Peas,Cirque du So What?,2014-04-19
He's Good...,Cirque du So What?,2010-04-04
It's Hot As Balls Outside,Cirque du So What?,2025-09-20
Staying Fat,Cirque du So What?,2012-04-28
StoogeFighter,Cirque du So What?,2010-04-25
Stupid Cowboy Thing (Reprise?),Cirque du So What?,2012-02-25
The Fair Artists Performance Act,Cirque du So What?,2012-03-31
"You Need Prozac, Charlie Brown",Cirque du So What?,2019-06-01
Food Network After Dark,Cirque du SoWhat,2011-08-13
Garbage Night,Citizen Blast Kane,2025-04-05
A-U-I-E-O,Citizen Kohn,1988-02-14
I Like Math,Citizen Kohn,1991-02-03
Opecable Shiek,Citizens Band,1979-05-20
This Is Halloween,Citizens Of Halloween Town,2024-10-26
The Man Who Ate His Car,City Boy,1982-02-14
Santa Claus Rag,CJF,2012-12-22
The Metrorail,Claddagh,1989-04-09
Johnny McAdoo,Clancy Bros.,1983-03-13
Huggin' and Chalkin',Clancy Hayes,1993-08-01
Huggin' And Chalkin',Clancy Hayes w/ Bob Scobey,1987-07-05
Huggin' And Chalkin',Clancy Hayes w/ Bob Scobey's Frisco Band,1980-02-24
Huggin' And Chalkin',Clancy Hayes/Bob Scobey,1989-02-12
Huggin' And A-Chalkin',Clancy Hayes/Bob Scobey's Frisco Band,1977-02-13
Huggin' And Chalkin',Clancy Hayes/Bob Scobey's Frisco Band,1974-07-07
"Fairy Tales, Part 1",Clapham & Dwyer,1978-01-08
Micky's Grand Opera,Clara Cluck & Donald Duck,1983-09-25
Cartoon Medley,Clara Cluck/Donald Duck/Bozo The Clown,1990-03-18
When Hilo Hattie Does The Hilo Hop,Clara Inter,1985-07-21
"Oh, Mr. Mitchell",Clara Smith,1980-05-25
"Oooh, Mr. Mitchell",Clara Smith,1972-12-31
Alma Mammy,Clare Hainlon w/ the Fred Waring orchestra,1972-12-24
Alma Mammy,Clare Hanlon w/ Waring's Pennsylvanians,1975-11-09
Alma Mammy,Clare Hanlon/Fred Waring,1974-05-12
Route 90,Clarence  Bonton  Garlow,1982-01-31
Digital Duck,Clarence  Ducky  Nash,1984-02-05
I'm A Country Boy,Clarence  Frog Man  Henry,1972-09-17
Ain't Got No Home,Clarence  Frogman  Henry,1999-04-25
I Found A Home,Clarence  Frogman  Henry,1981-03-15
Little Green Frog,Clarence  Frogman  Henry,2012-03-03
Ain't Got No Home,Clarence (Frogman) Henry,1993-06-20
The Coo Coo Bird,Clarence Ashley,2011-04-02
Strokin',Clarence Carter,1992-07-26
Green Booger,Clarence Crudwater (Sneaky Pete Rizzo),1993-09-05
Down In Indiana,Clarence Ganus,2024-03-23
I Found A Home,Clarence Henry,1981-01-25
I'm A Country Boy,Clarence Henry,2013-09-14
Ain't Got No Home,Clarence Henry  Frog Man,1992-06-28
The Contest (Strictly From Dixie),Clarence Loos,1974-11-24
Tennessee Tuba Tooting Contest,Clarence Loose,1975-02-23
Digital Duck,Clarence Nash,1985-02-03
Donald Duck,Clarence Nash,1994-04-10
"Donald Duck, Baby Sitter",Clarence Nash,2022-01-22
Donald Duck's Song,Clarence Nash,1979-01-28
Quack Quack Donald Duck,Clarence Nash,1985-05-05
Quack Quack Quack Donald Duck,Clarence Nash,1995-08-20
Tres Caballeros song (live in studio),Clarence Nash,1978-10-22
Who's Afraid Of The Big Bad Wolf,Clarence Nash,1991-10-13
How To Write A Popular Song,Clarence Senna,1979-01-14
The Dempsey-Tunney Fight,Clarence Senna,1982-12-05
Baltimore,Clarence Williams,1976-10-31
Big Fat Mama,Clarence Williams,1979-02-18
Candy Lips,Clarence Williams,1982-09-19
Farm Hand Papa,Clarence Williams,1979-06-10
I Can't Dance,Clarence Williams,1978-11-12
"I Can't Dance, I Got Ants In My Pants",Clarence Williams,1980-01-13
Jerry The Junker,Clarence Williams,1983-02-27
Santa Claus Blues,Clarence Williams,1979-12-23
Baltimore,Clarence Williams & his band,1976-07-11
Christmas Night In Harlem,Clarence Williams & His Band,1978-12-24
"I Can't Dance, I Got Ants In My Pants",Clarence Williams & his band,1979-04-29
Jerry The Junker,Clarence Williams & His Orchestra,1975-08-10
Jerry The Junker,Clarence Williams & His Washboard Band,2013-06-01
Baltimore,Clarence Williams f/ Eva Taylor,1976-03-14
I Can't Dance,Clarence Williams f/ Louis Jordan,1978-12-03
I'm Wise,Clarice Vance,2020-11-28
When Icky Morgan Plays The Organ,Clark Randall & His Orchestra,2014-03-08
Our Old Friend Dr. D,Clarke & Tucker,1977-11-27
Life Is A Rock (But The Radio Rolled Me),Class Of '81,1981-08-23
Do The Standing Still,Classics Illustrated,1979-04-29
Mad Moments,Claude Hopkins,1982-11-14
Wolverton Mountain,Claude King,1984-04-15
Rock That Sucker,Claudia Schmidt,2015-02-21
"Hello, Hello",Claudine Longet,1989-02-19
Beer-Activated Girl,Clay Robeson,2008-06-22
Thrift Shop Treasure,Clay Young & Becky Coleman,2024-01-20
Yum Yum Blues,Clayton McMichen,1973-04-15
A Corn Licker Still In Georgia,Clayton McMichen & company,1976-05-30
Taking The Census,Clayton McMichen et al.,2010-03-14
Can Broadway Do Without Me,"Clayton, Jackson & Durante",1980-02-03
So I Ups To Him,"Clayton, Jackson & Durante",1980-02-10
Hot Tub Blues,Clean Gene & Singing Loofas,1978-11-12
In Heaven There Is No Beer,Clean Living,1999-09-19
Long Dong Silver,Cleaning Ladys,1991-12-01
GoT Meteor?,Clearly Guilty,2019-09-14
Grandpa Got Runned Over By A John Deere,Cledus  T.  Judd,2021-12-11
If Shania Was Mine,Cledus  T.  Judd,1996-10-06
Indian In-laws,Cledus  T.  Judd,1994-07-03
Motel Californie,Cledus  T.  Judd,1996-05-05
Bring Back The Miniskirt!,Cledus Maggard,1977-01-30
Dad I Gotta Go,Cledus Maggard,1976-06-27
Kentucky Moonrunner,Cledus Maggard,1976-05-30
Martian Modulation,Cledus Maggard,1976-11-28
My Boy Floyd,Cledus Maggard,1976-10-24
The Banana Bowl,Cledus Maggard,1976-09-19
Virgil And The $300 Vacation,Cledus Maggard,1998-06-21
What Are They Teachin' My Boy Floyd?,Cledus Maggard,1976-11-14
What Are They Teaching My Boy Floyd,Cledus Maggard,1976-10-10
White Knight,Cledus Maggard,1977-06-05
Dad I Gotta Go,Cledus Maggard & The Citizen's Band,1976-05-30
Kentucky Moonrunner,Cledus Maggard & The Citizen's Band,2017-05-20
The White Knight,Cledus Maggard & The Citizen's Band,1976-01-18
Christ-mas,Cledus T. Judd,2014-12-20
Don't Serve Beans (On Christmas Night),Cledus T. Judd,2019-12-21
Double D Cups,Cledus T. Judd,2012-03-31
Goodbye Squirrel,Cledus T. Judd,2014-11-08
Hankenstein,Cledus T. Judd,2013-10-19
Livin' Like John Travolta,Cledus T. Judd,1999-11-14
Merry Christmas From The Whole Fam Damily,Cledus T. Judd,2015-12-12
My Cellmate Thinks I'm Sexy,Cledus T. Judd,2023-02-25
Polyrically Incorrect,Cledus T. Judd,2013-01-05
We Own The World,Cledus T. Judd,1994-11-06
Where's Your Mommy?,Cledus T. Judd,2003-06-08
First Redneck On The Internet,Cledus T. Judd (w/ Buck Owens),1999-03-07
I Love Nascar,Cledus T. Judd (w/ Toby Keith),2012-07-14
Shriner's Convention,Cledus T. Judd f/ Charlie Daniels,2020-07-11
The Streak,Cledus T. Judd f/ Ray Stevens,2024-05-04
Countdown,Clem Faulkner & Robert Oakes Jordan,1978-06-25
Russian Countdown,Clem Faulkner & Robert Oakes Jordan,1978-06-25
Hot Tub Blues,Clene Gene & His Singing Loofas,1978-11-05
Lookie Lookie (Here Comes Cookie),Cleo Brown,1972-09-17
Lookie Lookie Lookie Here Comes Cookie,Cleo Brown,1973-04-08
When Hollywood Goes Black And Tan,Cleo Brown,1974-09-22
Sugarbee,Cleveland Crochet,1972-11-19
I Ran From Iran,Cliche,1980-01-06
Oh Roscoe,Cliff  Red  Stankley,1975-11-09
Cutesy Pie,Cliff  Red  Stanley,1974-07-28
Malibuzy Baby,Cliff  Red  Stanley,1974-09-08
Oh Roscoe,Cliff  Red  Stanley,1980-06-29
"Rudy Vallee Surprises, #1 (Sweet Sue)",Cliff  Red  Stanley,1976-11-28
He Ain't Done Right By Nell,Cliff  Red  Stanley/Phil Saxe/Irving Aaronson,1974-07-21
Tom Cat Blues,Cliff Carlisle,1990-08-26
Bitchin' In The Kitchen,Cliff DeYoung & Jessica Harper,1981-10-04
1925,Cliff Edwards,1977-06-26
Crazy People,Cliff Edwards,1996-01-14
Everybody Step,Cliff Edwards,1974-04-14
Give A Little Whistle,Cliff Edwards,1976-10-03
Giving It To Mary,Cliff Edwards,1979-09-02
Giving It To Mary With Love,Cliff Edwards,1975-06-08
I'm A Bear In A Lady's Boudoir,Cliff Edwards,1990-10-14
I'm Going To Give It To Mary With Love,Cliff Edwards,1990-11-18
June Night,Cliff Edwards,1974-06-02
"Let It Rain, Let It Pour",Cliff Edwards,1974-01-20
Paddlin' Madelin Home,Cliff Edwards,1974-11-24
Singin' In The Rain,Cliff Edwards,1983-02-06
Singing A Song To The Stars,Cliff Edwards,1981-07-12
Singing In The Rain,Cliff Edwards,1974-06-02
Six Women (Me And Henry VIII),Cliff Edwards,2025-09-27
Sunday,Cliff Edwards,1974-05-12
That's My Weakness Now,Cliff Edwards,1978-10-15
When I Was The Son Of A Bee,Cliff Edwards,1975-02-23
When You Wish Upon A Star,Cliff Edwards,1974-07-14
Who Takes Care Of The Caretaker's Daughter?,Cliff Edwards,1978-02-26
When I See An Elephant Fly,Cliff Edwards (from Dumbo),1991-01-27
Who Takes Care Of The Caretaker's Daughter While The Caretaker's Busy Taking Care?,Cliff Edwards (Ukelele Ike),1972-04-09
Halfway To Heaven,Cliff Edwards (w/ in-studio whistling by Leon Redbone),1986-04-13
When I See An Elephant Fly,Cliff Edwards & chorus,1991-01-27
The Cannibal Song,Cliff Edwards & Rica Moore [announced as Thurl Ravenscroft & Cliff Edwards],2022-09-24
When I See An Elephant Fly,Cliff Edwards & The Hall Johnson Choir,1995-01-15
Ja Da,Cliff Edwards & The Wonderland Jazz Band,2016-11-12
When I See An Elephant Fly,Cliff Edwards et al.,1989-12-10
Giving It To Mary (With Love),Cliff Edwards w/ Ben Light,1975-02-23
Ain't It A Beauty,Cliff Ferr&eacute; w/ The Cafe Society Quintet,1998-08-30
Rosie Don't Bang On The Piano,Cliff Ferr&eacute; w/ The Cafe Society Quintet,1998-04-26
Ain't It A Beauty,Cliff Ferre,1994-07-10
Fifi's Got The Biggest One In France,Cliff Ferre,2011-06-25
Greatest Broadjumper Of Them All,Cliff Ferre,1973-02-04
Joe's Joint,Cliff Ferre,1978-10-29
"Rose, Don't Bang On The Piano",Cliff Ferre,1976-08-15
Rosie Don't Band On The Piano,Cliff Ferre,1977-02-13
Rosie Don't Bang On The Piano,Cliff Ferre,1993-07-25
The Pirate's Poop,Cliff Ferre,2021-03-20
Uncle Harry's Little Peacock,Cliff Ferre,2017-02-25
"Rosie, Don't Bang On The Piano",Cliff Ferre & His Cafe Society Orchestra,1975-07-20
Favorite Indoor Sport,Cliff Ferre w/ The Cafe Society Quintet,2024-01-27
Rosie Don't Bang On The Piano,Cliff Ferre w/ The Cafe Society Quintet,1975-06-22
The Greatest Broad-Jumper,Cliff Ferre w/ The Cafe Society Quintet,1973-01-21
Ain't It A Beauty,Cliff Ferré w/ The Cafe Society Quintet,2025-04-26
Daffy Ditties,Cliff Friend,1981-09-06
Horsefeathers,Cliff Jackson,1982-09-05
Horsefeathers,Cliff Jackson & The Crazy Cats,1973-02-11
Horsefeathers,Cliff Jackson's Crazy Cats,1982-07-18
Horsefeathers,Cliff Jackson's Crazy Kats [including intro from KMET 7-18-1982],2025-07-05
Horsefeathers,Cliff Jackson's Krazy Kats,1972-10-22
How To Learn To Tap Dance,Cliff Nazarro,1981-05-03
Income Tax,Cliff Nazarro,1993-03-21
News Of The World,Cliff Nazarro,1991-06-09
News Of The World,"Cliff Nazarro, Commentator",2025-06-14
How To Learn To Tap Dance,Cliff Nazzaro,1976-08-01
Move It,Cliff Richard,1972-06-04
Livin' Doll,Cliff Richard & The Young Ones,1986-05-04
Living Doll,Cliff Richard & The Young Ones,1987-10-11
Living Doll,Cliff Richard & The Young Ones f/ Hank Marvin,1986-05-25
I Want Eddie Fisher For Christmas,Cliffhangers,1981-12-20
The Grunt Song,Cliffie Stone,1995-03-19
The Popcorn Song,Cliffie Stone,1993-07-25
Too Pooped To Pop,Cliffie Stone,1972-12-03
Wabash Blues,Cliffie Stone & His Barn Dance Band (Vocal Trio w/ Crying By Stan Freberg),2017-02-04
Wabash Blues,Cliffie Stone & His Barn Dance Band w/ crying by Stan Freberg,1983-11-13
Wabash Blues,"Cliffie Stone & His Barn Dance Boys, w/ Crying By Stan Freberg",1980-10-26
Grunt Song,Cliffie Stone & His Barn Dance Orchestra,1976-10-10
The Grunt Song,Cliffie Stone & His Orchestra,1995-04-09
The Popcorn Song,Cliffie Stone & His Orchestra (vocal by Bob Roubian),1999-04-11
The Popcorn Song,Cliffie Stone & His Orchestra f/ Bob Roubian,1976-08-08
Too Pooped To Pop,Cliffie Stone & His Orchestra f/ Bob Roubian,1973-01-14
Popcorn Song,Cliffie Stone/Bob Roubian,1977-07-24
Hard Headed Blues,Clifford Gibson,1983-01-30
Armadillo,Clifford J. Buckosh w/ Refuge & The Armadillo Chorus,1981-10-04
Don't Leave Your Records In The Sun,"Clifford Meritz(?) (from Chicago, IL)",1986-05-11
Boppin' The Rock,Clifton Chenier,1970-12-03
Rowdy,Clint Eastwood,2021-06-12
Jane,Clint Eph. Sebastian & The Junkers,1996-02-11
Jane,Clint F. Sebastian & The Junkers,1996-03-03
Playground In My Mind,Clint Holmes,2025-07-12
Polka Dotted Pollywampus,Clint Miller,1977-01-09
Fan Dance Fanny,Clinton Ford,2017-06-03
Now It's Paul McCartney......,Clive Baldwin,1975-07-06
The Parents' Song,Clobberheads,1978-10-08
Halitosis,Clone Masters,1979-01-21
Moon Man Mambo,Cloyd & Gidney (Rocky & His Friends LP),1985-09-01
Why Can't I Dance With Phil Donahue?,Club Of Rome,1988-08-07
Whips and Chains,Clyde Brown,1994-07-31
Santa Came Home Drunk,Clyde Lasley & The Cadillac Baby Specials,1975-12-21
Chinese Rhumba,Clyde Lucas & His Orchestra,2013-10-12
I'm Gonna Play In The Varsity Band,Clyde McCoy,1975-09-07
OPENING: Sugar Blues,Clyde McCoy,1974-11-24
Sugar Blues,Clyde McCoy,1991-05-05
Sugar Blues,Clyde McCoy & His Orchestra,1973-05-13
333,Clyde McPhatter & The Drifters,1972-02-13
Money Honey,Clyde McPhatter & The Drifters,1972-03-19
